step,total_loss,sigreg_proxy_loss,pred_loss,learning_rate,grad_norm_post
7301,5.974236e-06,5.766224e-06,2.080113e-07,2.883279e-04,4.319132e-03
7401,6.541446e-06,5.888141e-06,6.533050e-07,2.879597e-04,6.318747e-03
7501,1.930201e-06,8.720505e-07,1.058151e-06,2.875861e-04,2.445484e-03
7601,3.011000e-06,2.830588e-06,1.804128e-07,2.872070e-04,4.544206e-03
7701,1.765283e-06,1.699491e-06,6.579132e-08,2.868225e-04,6.851943e-04
7801,1.065025e-06,1.007715e-06,5.730957e-08,2.864325e-04,2.148365e-03
7901,3.773307e-06,3.163527e-06,6.097798e-07,2.860372e-04,1.618292e-03
8001,1.222550e-06,1.171316e-06,5.123352e-08,2.856365e-04,1.395265e-03
8101,5.287649e-06,4.883182e-06,4.044671e-07,2.852304e-04,6.702696e-03
8201,7.124229e-06,6.325680e-06,7.985483e-07,2.848189e-04,2.734473e-03
8301,1.177241e-05,1.163219e-05,1.402242e-07,2.844021e-04,1.040526e-02
8401,1.649059e-05,1.607614e-05,4.144483e-07,2.839800e-04,1.102603e-02
8501,4.826006e-06,4.737318e-06,8.868828e-08,2.835526e-04,6.221158e-03
8601,6.688582e-06,5.325400e-06,1.363182e-06,2.831199e-04,4.641374e-03
8701,6.181299e-06,6.046396e-06,1.349034e-07,2.826819e-04,6.922165e-03
8801,4.419981e-05,4.162060e-05,2.579219e-06,2.822387e-04,2.040996e-02
8901,2.626473e-06,2.439308e-06,1.871649e-07,2.817903e-04,4.457616e-03
9001,7.257777e-06,6.671703e-06,5.860738e-07,2.813366e-04,8.020531e-03
9101,5.241338e-06,4.931365e-06,3.099735e-07,2.808778e-04,1.419629e-03
9201,1.328820e-05,1.308177e-05,2.064241e-07,2.804138e-04,2.824582e-03
9301,9.106066e-06,8.173121e-06,9.329456e-07,2.799446e-04,9.352676e-03
9401,5.702699e-07,5.197460e-07,5.052388e-08,2.794703e-04,1.630845e-03
9501,6.566890e-06,5.211110e-06,1.355781e-06,2.789909e-04,2.831212e-03
9601,1.822814e-06,1.778373e-06,4.444099e-08,2.785064e-04,3.934281e-03
9701,3.769678e-06,3.274164e-06,4.955136e-07,2.780168e-04,2.849448e-03
9801,1.117186e-06,1.071858e-06,4.532782e-08,2.775221e-04,2.376387e-04
9901,4.218618e-06,3.879846e-06,3.387725e-07,2.770224e-04,2.428832e-03
10001,1.771037e-06,1.712780e-06,5.825637e-08,2.765177e-04,2.902322e-03
10101,2.736391e-06,2.482036e-06,2.543550e-07,2.760080e-04,2.022102e-03
10201,1.388334e-06,1.294653e-06,9.368117e-08,2.754933e-04,2.235074e-03
10301,2.816468e-06,2.513420e-06,3.030471e-07,2.749737e-04,1.131152e-03
10401,4.612229e-05,4.563847e-05,4.838208e-07,2.744491e-04,1.937819e-02
10501,1.848946e-05,1.755334e-05,9.361273e-07,2.739197e-04,1.128713e-02
10601,4.370053e-06,4.022985e-06,3.470686e-07,2.733853e-04,1.758898e-03
10701,4.997459e-06,4.743990e-06,2.534690e-07,2.728461e-04,4.645443e-03
